#Tube number,Tube length (m)
1,1.0000
2,0.9912
3,1.0008
4,0.9923
5,1.0030
6,0.9968
7,0.9964
8,1.0013
9,1.0004
10,0.9962
11,0.9963
12,1.0033
13,0.9961
14,1.0008
15,1.0045
16,0.9923
17,0.9912
18,1.0015
19,0.9994
20,0.9964
21,0.9964
22,1.0013
23,0.9958
24,0.9995
25,1.0037
26,1.0059
27,1.0014
28,0.9958
29,1.0012
30,0.9968
31,1.0036
32,1.0000
33,0.9968
34,1.0048
35,0.9976
36,0.9954
37,0.9951
38,1.0059
39,0.9994
40,0.9982
41,0.9962
42,0.9965
