0	0	35
0.1	0	35
0.2	7.223060998	34.99751657
0.3	54.6471017	34.99503403
0.4	54.66477123	34.99255463
0.5	54.66796475	34.9900757
0.6	454.5844098	34.98759725
0.7	703.2178441	34.98514179
0.8	825.9666333	34.9827008
0.9	956.9206153	34.98026719
1	1095.905531	34.97784142
1.1	1242.966424	34.97542395
1.2	1399.48551	34.97301522
1.3	1562.319946	34.97061576
1.4	1730.548549	34.96822593
1.5	1905.976919	34.96584604
1.6	2088.548455	34.96347648
1.7	2278.198179	34.96111766
1.8	2474.763102	34.95876997
1.9	2677.920384	34.9564338
2	2887.663254	34.95410952
2.1	3104.10022	34.9517975
2.2	3327.154112	34.94949811
2.3	3556.745979	34.94721173
2.4	3792.796367	34.94493871
2.5	4034.111612	34.94267943
2.6	4280.101336	34.94043417
2.7	4532.039097	34.93820319
2.8	4789.582863	34.93598684
2.9	5052.623397	34.93378541
3	5321.054579	34.93159922
3.1	5597.1868	34.92942857
3.2	5881.86536	34.92727389
3.3	6172.339548	34.92513566
3.4	6468.503226	34.9230142
3.5	6770.279154	34.92090983
3.6	7077.590897	34.91882285
3.7	7397.633522	34.91675359
3.8	7738.891384	34.91470275
3.9	8088.288059	34.91267153
4	8445.604992	34.91066037
4.1	8810.862943	34.90866973
4.2	9184.085899	34.90670004
4.3	9552.643726	34.90475176
4.4	9889.181786	34.90282461
4.5	10228.71061	34.90091678
4.6	10570.79496	34.89902844
4.7	10915.29392	34.89715973
4.8	11262.07451	34.89531079
4.9	11611.88589	34.89348173
5	11983.01056	34.89167273
5.1	12358.16221	34.88988498
5.2	12737.0769	34.88811871
5.3	13120.48806	34.88637411
5.4	13507.97022	34.88465145
5.5	13898.94611	34.88295094
5.6	14293.59107	34.88127278
5.7	14691.659	34.87961717
5.8	15093.09093	34.87798431
5.9	15497.76596	34.87637436
6	15905.56649	34.87478752
6.1	16316.41562	34.87322396
6.2	16723.45561	34.87168383
6.3	17122.16899	34.87016693
6.4	17522.33379	34.86867278
6.5	17925.93292	34.86720145
6.6	18331.6596	34.86575315
6.7	18738.84631	34.86432797
6.8	19147.39492	34.862926
6.9	19533.41342	34.86154731
7	19917.21916	34.86019063
7.1	20300.65178	34.85885583
7.2	20685.51059	34.85754288
7.3	21070.17855	34.85625186
7.4	21454.07987	34.85498275
7.5	21827.10647	34.85373551
7.6	22174.64663	34.85250952
7.7	22519.08791	34.85130335
7.8	22860.92122	34.8501168
7.9	23206.86806	34.84894974
8	23558.46234	34.84780238
8.1	23907.36908	34.84667505
8.2	24197.06391	34.84556758
8.3	24426.93866	34.84447665
8.4	24648.50999	34.84339887
8.5	24864.17951	34.84233378
8.6	25072.02893	34.84128103
8.7	25285.36213	34.8402402
8.8	25492.21495	34.83921158
8.9	25655.21053	34.8381948
9	25761.2794	34.8371874
9.1	25856.05925	34.83618617
9.2	25944.33676	34.83519046
9.3	26026.5695	34.83419991
9.4	26100.15571	34.83321418
9.5	26177.03356	34.83223279
9.6	26245.45829	34.83125591
9.7	26338.96632	34.83028307
9.8	26430.2589	34.82931567
9.9	26514.00726	34.82835361
10	26592.28596	34.82739644
10.1	26663.00751	34.82644387
10.2	26726.2515	34.82549545
10.3	26785.39022	34.82455078
10.4	26843.95583	34.82360962
10.5	26882.81768	34.82267193
10.6	26911.0916	34.82173662
10.7	26932.53388	34.82080306
10.8	26956.59805	34.8198709
10.9	26974.99831	34.81894026
11	26987.63582	34.81801084
11.1	26994.64021	34.8170823
11.2	26996.58721	34.81615434
11.3	26999.47505	34.81522665
11.4	27004.07378	34.81429931
11.5	27001.67371	34.8133724
11.6	26994.71265	34.81244553
11.7	26985.81704	34.81151844
11.8	26972.24765	34.81059102
11.9	26954.04397	34.80966302
12	26931.32166	34.80873416
12.1	26904.1977	34.8078042
12.2	26872.89621	34.80687289
12.3	26909.05682	34.80593999
12.4	26955.57497	34.8050093
12.5	26998.59712	34.80408141
12.6	27037.80846	34.80315612
12.7	27074.21737	34.80223321
12.8	27106.76889	34.80131253
12.9	27135.4942	34.80039385
13	27160.45457	34.79947697
13.1	27181.71202	34.79856166
13.2	27199.32842	34.79764772
13.3	27111.76345	34.79673495
13.4	26999.72335	34.79581742
13.5	26883.98641	34.79489375
13.6	26765.25484	34.79396373
13.7	26643.67127	34.79302721
13.8	26529.33274	34.79208401
13.9	26414.58242	34.79113454
14	26297.3895	34.7901788
14.1	26177.80627	34.78921663
14.2	26055.93944	34.7882479
14.3	25931.89398	34.7872725
14.4	25944.17313	34.78629029
14.5	25957.76306	34.78530896
14.6	25967.79355	34.78432858
14.7	25974.70874	34.78334895
14.8	25978.56787	34.7823699
14.9	25979.41963	34.78139125
15	25977.47232	34.78041283
15.1	25975.97029	34.77943448
15.2	25972.76465	34.77845624
15.3	25967.8257	34.777478
15.4	25961.18037	34.77649967
15.5	25946.64777	34.77552115
15.6	25904.96069	34.77454199
15.7	25860.96222	34.77356067
15.8	25816.90762	34.77257706
15.9	25772.77193	34.77159116
16	25726.95096	34.77060295
16.1	25679.44121	34.76961235
16.2	25630.28133	34.76861926
16.3	25579.51058	34.76762359
16.4	25527.1678	34.76662525
16.5	25473.29027	34.76562415
16.6	25417.91556	34.7646202
16.7	25363.66253	34.76361333
16.8	25304.82909	34.76260359
16.9	25240.59788	34.76159072
17	25174.93122	34.76057443
17.1	25107.96932	34.75955463
17.2	25040.32403	34.75853126
17.3	24972.14021	34.75750427
17.4	24902.90384	34.75647363
17.5	24832.63266	34.75543929
17.6	24761.35771	34.75440118
17.7	24689.10988	34.75335926
